text,label
"I've been holding for your claims department for 20 min now? Any chance someone could answer? Thanks",request
"how do you leave a disabled older lady with an infant And not help them to changed gate? Unreal",request
"That is HORRIBLE service for a Platinum who spends insane amounts of money with you every year.",complaint
"I have to modify my trip date to later in the week, can I do that online?",request
"Yay  thanks for the  credit! :) ",compliment
"boarding for AA1733 had no call for travelers with infants. Young couple with newborn had to wait to board #dissapointed",complaint
"Omg! What happened to  ! Horrible service",complaint
"Im so dissappointed for the service! And i need to reschedule all of my travel itinererary. and it cost a lot!!",complaint
"with terrible service. Sat in a plan over an hour leaving Miami per flashlight battery, sat hour waiting for gate on arrival",complaint
"Differences in customer service experiences on Twitterâ€¦ = fast, polite, informative = slow resulting in useless",compliment
"Shoutout to the  flight attendant who hooked up the free drink and brought me my GoPro I left behind when changing seats. #mvp",compliment
"where is the response to the customer service email I sent you? I'm still waiting for answers.",complaint
"Flying  from MSP to CLE thru ORD &amp; my flight from ORD at 5.39 is already delayed to 8.15. I should have expected nothing less tbh.",complaint
"Was on Ft692 LIR-HOU on 4/17 row 11 seat B &amp; C. Husband lost wedding band - please let me know if found on plane. Thank you.",request
"Changed my flight 4 times because a MOH has got to be with her bride. Thanks  for making changes (cheap!) and easy. #crunchtime",compliment
"Is your feedback form broken? I can't seem to be able to post anything (spinning wheel for a minute, then back to the form).",request
"Thanks to CB from  for rebooking my flight! After hours of chaos, I finally have my answers! #needsaraise #sentfromheaven",compliment
"Late flights, missing flight crews, dirty plane restrooms; must be  How did y'all ruin continental so thoroughly?",complaint
"So what is new . 90 mins delay for PHX - EWR  flight .",complaint
"Hello,  Do your flights to LHR have wifi on them? Thanks in advance.",request
"do you respond to customer service related tweets at all? Sent you a DM almost 3h ago and no response. Can you pls respond?",request
"That wonderful feeling when they call your name at the gate because you got an upgrade. Thanks  #travel",compliment
"Seriously  is the WORST!!!!!!!!! Cancel part of a flight you're not supposed to. Tell me I have full credit towards a flight",complaint
"What's the issue with flight #100 BWI-MCO? Why the long delay? Equipment or Crew?",request
"hi, my bag didn't arrive in DFW after transferring it in IAD after arrival from LHR - any ideas where it is?! BA027846 thx",request
"hi, I would like to know how much do I pay if I lost the second flight in a connection.",request
"Hi guys. Can someone assist with a flight change? Been on hold for 40 mins so far.",request
". is outta control They're very UNAmerican. I don't fly on their planes \U0001f611 #boycottAmericanAirlines",complaint
"Thanks  for gr8 customer service. Got to ORD earlier than expected + your agent was able 2 get me on an early flight to DSM #awesome",compliment
"Long time loyal customer. I want a one time exception on the change flight fee for the first cancellation I've ever made with United",request
"there was a time that  was known for customer service. Now it's just an overpriced airline. #SouthwestHeartless",complaint
"Shout out to Mary working  baggage claim late shift at MSP Airport tonight for going the extra mile! #customerservice",compliment
"hi! I bought ticket for my mom and on confirmation email it's right but boarding pass is not. Can you help!!",request
"is full of unprofessional, rude and anti customer people.",complaint
"Flight out of Miami is now five hours delayed to PUJ. I'm supposed to be on that flight back to Miami eventually. Why delayed?",request
"Landed safely in Spokane. Thank you  for a smooth flight. Now, time to head to the hotel and prep for the  tourney.",compliment
"sick in hospital with blood clots,can't fly for work and need to change name on ticket for college to go in my place. Help!!!",request
"fucked us again. Stuck in PHL again after supposed booking #NeverAgain why can't anyone hep????",complaint
"hello Delta. I have some missing miles from an air France flight which haven't been credited. Can you help?",request
"dm you  20 minutes ago. Can you please let me know if you received it?",request
"I'm having some difficulty redeeming an old flight onto my account. Best way to resolve this?",request
"hi I have a question about my medallion status for 2016",request
"And it's even better when you get me on an earlier flight and we land 30 min early! Seriously awesome ",compliment
"finding creative ways to screw up flights.  17 flights this yr, 58% on time.  Now broken jet bridge as midnight approaches.",complaint
"bag finally arrived 5 days late. (AA never put on CX flight) missing items. bought items. whom do I talk to for reimbursement?",request
"I do not trust  to not lose my wedding gown. NOPE! Not checking it, not buying a seat for it. That's the worst!",complaint
"how many miles do I need to upgrade from Premium E. to Biz class on SIN-SFO?",request
"Hey  , I am trying to check in for tomorrow, your website says not accepting usernames anything else. What do I do? I'm in Costa Rica",request
"A year ago I had a horrible  experience. Almost to the day another horrible experience. You've lost my friends and families business.",complaint
"kudos to Kristin for getting me on my next flight to Den after a previous cancel!",compliment
"and thank you Twitter sw folks",compliment
"Hey  I've been on hold for over 20 minutes now to talk to you guys about the discrimination I experienced. Ever gonna pick up?",complaint
"can you help me?",request
"Can you tell me if flight 729 from Philly to Seattle has outlets onboard?",request
"OMG luck of the Irish my fight is delayed an hour and I'm running late for the first time ever  ðŸ€ðŸ‘¸ðŸ¼ðŸ’¯âœˆï¸",compliment
"Your aircraft are totally unacceptable  You're going to kill someone though DVT sooner or later.",complaint
"how do you get onto the upgrade list?",request
"quick question.. Can I use 2 credit card to make a payment ? Like I have one prepaid card which has some amount + I can use",request
"flying out Friday, MKE to Orlando.  Badger basketball game on at 6:30 Eastern TBS.  Can we see it on the plane?  Thanks.",request
"Just landed on the  inaugural to  Thanks for having us on board! ",compliment
"there are over 30 people waiting and only 2 employees at Austin airport checking in baggage. this is ridiculous!",complaint
"how do you sell my tickets...change my flight, AND provide me with no seat when I paid EXTRA for one?? #dosomething",request
"good afternoon. Can you tell me the reason for the delay in Fl#1844 from STL to ATL. Thanks",request
"#lifewelltravelled not happening to me! Deaf and dumb wrote by CX staff ðŸ˜£ not happy traveler!",complaint
"how do I request a physical rapid rewards card?",request
"Two of us are flying tomorrow and I tried to upgrade both seats but was only allowed to upgrade one. Can you help?",request
"Clients flight delayed into DFW since diverted to AMA.  No update on cxn to MIA - can you assist?",request
"Thanks for being so gr8  no issues these series of flights. #vetsflying",compliment
"why would you sell a middle seat to a morbidly obese woman? First time flying in 12 years and just a rotten experience. LA&gt;PHL",complaint
"Very Impressed with the  in flight info/entertainment system.",compliment
"for an award flight i have already booked, how can i upgrade to delta comfort? id like to understand how much it will cost",request
"best service ever! #happyemployees #happycustomer #usa #travel #luxury ^.^",compliment
"30 minutes later, still waiting at baggage claim. There are legit no other flights here. #tulsa",complaint
"real quick, ,is it possible to use unapplied funds for a family member? Customer Service line has been of no help ðŸ˜¢",request
"How can I add my middle name to my Delta Secure section of my profile?",request
"every time you fail to deliver customer excellence!!   or  PLEASE start service to beautiful Guyana!!!",complaint
"can we be told why flight AA723 from DUB to PHL is delayed from 9:40 to 11:20??",request
"Thank you to  for your flexibility and amazing support on Twitter. You gave us one less thing to worry about. We are ever thankful.",compliment
"so she can get there and have no connecting flights to her destination.  This is why I NEVER fly United.",complaint
"hi guys! I just want to know if my flight Paris CDG &gt; Miami on monday morning (BA1549) is delayed or cancelled thx",request
"Airline Food For Vegans; I flew with  and they had a great Vegan meal on each leg\u2026",compliment
"I always believe in being fair too. Super kudos to  for always being responsive to my social media pings. Best customer service",compliment
"Thank you  âœˆï¸ ",compliment
"With the kind of day I've had, this is incredible  You da best. ",compliment
"Huge thanks to V at the  Advantage Desk. He went above and beyond.",compliment
"Amazing feat of engineering this gentle giant #A380! My favorite plane to fly long haul   ",compliment
"I'm appalled at  customer service! Gate agent promised $300 voucher for broken seat &amp; no one will help us!!! #liars #Sally",complaint
"are really impressing me tonight great #shout-out# van gaal",compliment
"Hi  if I'm bringing on a wedding dress and flying first/business do I need to let you know ahead of time?",request
"booking flight w/ travel funds.applied but purchase won't go through.error message says names don't match but they do. help",request
"Again, thanks for taking me there  Sending #GoodVibes your way! #AmericanAirlines #Upgrade #NYC #Miami ",compliment
"Wow  so impressed  your #military discount fares! Thank you - going to visit my beautiful 97 Grandmother who was #navy spouse!",compliment
"impressed by how easy it was to handle a refund dispute following a glitch on your website. Well done!",compliment
"what is your responsibility if my luggage is broken, or things inside luggage is missing? Reply pls. Thx u",request
"Again wonderful flight attendants and pilots on both flights today.  1547 from Las to dfw and 2333 from dfw to ORF.",compliment
"I'll probably never fly you again. Working on a four hour plus delay right now trying to get back to NYC.",complaint
"Every single time I've flown with  MY FLIGHT GETS DELAYED",complaint
"How long does it take to credit miles earned on a United Airlines flight to KrisFlyer? Thanks.",request
"I hate  they made me late to my flight by making me wait to check my bag then made me pay $75 to get on the next flight.",complaint
"Disappointed in  ... Apparently I lost my status &amp; the kind lady at the customer service counter wanted $75 to list standby. ðŸ™„",complaint
"//Any info on 5210 to LIT?  Delayed over 2 hours now...",request
"I need help.. can I get specific info on what check baggage I can bring on my trip? I can send conf #.",request
"When you were supposed to take off at 1030, its now 1:30am and your on the plane and it doesnt have fuel yet. Well played",complaint
"Pls connect Pune to Singapore    will save 4 hour of Pune Mumbai travel for many of us",request
"Thank you for not giving any respons to the Belgian touroperators. It could them give some solutions!",complaint
"Made it to  safe and sour.. Thank you  for another great flight. See you in two days. #limelife ",compliment
"S/O to Warren with  for being the only helpful representative today!",compliment
"ICYMI #help   I just left my computer on Mpls bound flight DL 5732 #help #ugh now what?? #help it hs my final paper on it",request
"how can I get points from this past week's travels added to my RR account?",request
"- flight attendant, Donnie, on flight 1015 from Dallas to Lubbock, TX today went above and beyond his duties. Great service!",compliment
"You have got to be one of the worst loyalty programs out there. You don't reward customer loyalty whatsoever.",complaint
"I have a flight Friday evening. Will I be able to watch the NCAA tournament in-flight?",request
"very busy at the Airport Express today, but great service from Grace Lee, checking my visas and educating me! #cheers #cx",compliment
"as you can promote this airline? It is the worst company in the world",complaint
"Thanks again LA! Hope to be back very soon... And we hope to have good service with  to JFK... Until next time, bye bye!",compliment
"spent thousands of $ worth of miles 2 fly business guayaquil on aa902 2 b forced 2 stand for 4+ hours. no english announcements",complaint
"DTW gate A-28 employee Breanne has zero empathy &amp; so so rude. Please look into her employment performance",complaint
"who do I need to reach out to if I left my kindle on plane? It was flight 4342. MDW to BHM. Thanks.",request
"i need infos for my flight with 10 months baby, how much is it to check my car seat. Do i need to buy her a ticket? If not ???",request
"Thanks Shay in Dallas for being so helpful.",compliment
"I'm going on a domestic US flight with yourselves and am bringing a large suitcase, do I pay the charge when I check in?",request
"Why didn't I listen to the horrible things I've heard about",complaint
"Why wasn't I allowed to check-in online? Was it that it was international, of was it the lap child?",request
"Thanks to  for helping me adjust my flight after the original flight changed by quite a bit this morning.",compliment
"Shout out to Travis B from  who helped us make it home after we missed the last flight. Guardian Angel🙏🏼",request
"The last 2 flights, were the first ones that I have a nice cabin crew team flying with us",compliment
"seriously?  I fly to Salt Lake from ORD 12 days ago and my gluten free meal was AOL.  My return flight guess what? Unacceptable",complaint
"sent a DM. Flight delayed by more than 6 hours. Looking to get out of Bozeman and into Milwaukee or Green Bay.",complaint
"customer service gets a shout out for being proactive last night &amp; super helpful tonight making my travels less of a nightmare",complaint
"American Airlines pushing a credit card over the PA during flight. I paid how much for this flight? And the sink won't drain.",complaint
"queue for around an hour already due to cancelled flight from MUC to DOH. customer service???",complaint
"how do i get a visa to doha from nigeria",request
"Hey  my mum is trying to book a flight and you won't let her because she's over 70. What's that about? Can you help her?",request
"Miles were not redeposited in my account despite several requests. Please redeposited.",request
"Never fails. Every time I take  my flight is always delayed. Every single time.",complaint
"flying from ATL to BUE how much i have to pay for a 32kg bag instead of 23kg? I'm silver medallion thx!",request
"thanks to Travis and Donna for being exceptionally helpful in customer service at Phoenix ... ",compliment
"compensation received and matter closed. Thanks for 'finally' taking care of us 😄",compliment
"I need to you to tell me why 5694 PHX &gt; ELP was delayed!!!  I have a right to know",request
"#ThatMomentWhen I forget to check-in for my âœˆ... Love that I pd for early check-in knowing I would forget! ðŸ˜‚ Thx  #thatwaseasy",compliment
"Special thanks  flight 1087 for finding these that I left behind and notifying me so I could pickup at #LAX",compliment
"Is probably the worst airline in the U.S.",complaint
"I need assistance with a cancelled flight and struggling to get in touch via phone. Can you help",request
"I just spoke to the most rude customer service rep. Ever at the 800 number #customerservicefail",complaint
"do u handle customer service complaints?",request
"unacceptable treatment from  trying to take advantage of this customer post emergency landing  #notimpressed #thearrogance #ugh",complaint
"how can I update my miles for a flight last week? Con# JQLOLZ Mco-Dtw",request
"I really really hope you don't cancel or delay my flight out of Milwaukee on Thursday",request
"Thanks for the views this evening,  #facemelts #pnw ",compliment
"trying to check in and it won't let me choose seat or look at upgrade options. Can you help?",request
"How can a flight 5137 be delayed because of a missing crew member? Do they have to go through an obstacle course to get here?",complaint
"why doesn't the app know my upcoming flights - especially if it is purchased through the app",complaint
"on 3645 and 381 this AM. #exceptionalservice #deltarocks",compliment
"So fed up with  worst traveling experience of my life. It should not take 48 hours to get home.",complaint
"Oh, one last thing.. Poor, poor customer service. Was basically shooed away when asking to check if I still had a seat on the flight",complaint
"Really  ? No air con on flight 741 till we start the engines?  At least 90 degrees in here.  Does not inspire confidence.",complaint
"been out since 5:45 trying to get to #IAH, all roads flooded. If flight takes off and I can't get there, can I rebook?",request
"Pretty disgusted with  for sending me a pre-packed response and not even reading the report about the incident on my last flight",complaint
"so every time I've flown  I've been delayed at least two hours but have never had this problem with  ðŸ˜•ðŸ˜•ðŸ˜•",complaint
"BIG kudos to Michael  Thank you so much for helping me save face and fix a booking error for my client. #customerservice",compliment
"Wow  has horrible customer service. I failed a claim for stolen items over a month ago. No follow up and when I call they put me",complaint
"flight 4239 Miami to Philadelphia delayed 8 hours flat tire , no communication from AA. I have sent 3 emails unanswered AA.c",complaint
"I fuck with  free snacks and free TV shows..",complaint
"Any idea when the website will be back up to be able to purchase flights? Thanks!",request
"you have a lot of unhappy folks stuck in Chattanooga! I hope you will find someway to compensate us for our time and money",complaint
"flight 1034 out of GDL crew no where to be found #bad #service #delayed",complaint
"hello please can you tell me who I can contact for feedback on cabin services please ? I have some good things to report",request
"respect customers. Respect personal situations. Respect bookings from 4 months ago... #frustrated, #angry, #norespect",complaint
"flight 1988 LGA to CLT returning to LGA gate for fix. Might miss connecting 1868 CLT to CHS 11:14 departure. Please help?",request
"A big Thank You to  for donating flights to the #BMWCharityProAm the count down is on!!",compliment
"If I book a flight from Miami to New York will there be a checked baggage charge? The website is not clear. Thanks",request
"LðŸ˜VE  - the BEST. Can't stand to fly anyone else.",compliment
"Been waiting with party for over 20 minutes for bags at JFK from LAX. Do you still offer free miles for delays? Flight 2647",request
"Never flying  again. Over 10 missed our connecting from CLT to DAB because they wouldn't hold the plane 2 mins.",complaint
"My response from  Go to website to file a complaint. Thanks for nothing, I did that 5 days ago.",complaint
"Plz change ur itenary from  worst service at premium rates.. go for  or",complaint
"customer serv is BS..waited 2hrs for call back just for em to call me &amp; hang up..would go elsewhere of tics weren't purchased",complaint
"Permission to tell United THEIR SERVICE IS TERRIBLE granted. NEVER fly  go Delta guys. I'm taking an L right now.",complaint
"Easiest 11hr flight I can remember. Thanks  for perfect end 2 our #milkandhoneymoon in",compliment
"Your ground ops and customer service at Phoenix are real mess now. You're in danger of losing loyal customers, including me",complaint
"tell me where your customer service desk is at SNA airport please",request
"Traci is the best flight attendant EVER  #living #backtonyc",compliment
"#firstclass upgrade someone's smiling tonight. Well smiling and #yawning ðŸ˜šðŸ’¤ðŸ’¤ðŸ’¤ Thank you  ",compliment
"adds service from Memphis to Phoenix -  ",compliment
"Shoutout to Missy on the BWI gate crew, who helped this dope who left his iPad on the plane.",compliment
"Adding to my list of random reasons why my flight is delayed every other trip - something about a tow bar  ðŸ˜« #sleepisoverrated",complaint
"are the best",compliment
"has great internet and movies",compliment
"Can i change the destination from FUK to other city in Japan. I've the promotion ticket departure from BKK &amp; transit in SIN.",request
"thanks for the 2hr delay ðŸ™„",complaint
"Experiencing flying with the second best airlines in the world awarded by Skytrax,  in my blog",compliment
"are the best",compliment
"amazing! You would rather my family get Zika than refund my ticket.  gave me a refund no problem.",compliment
"you are truly lucky to have your employees at EWR. They really are some of the kindest people around. So much so that I unprotected",compliment
"Landed in Melbourne, thanks to  for a great flight #F1 #AustralianGP #TeamLH ",compliment
"16 hours flight on  and no private screen?!! Are we in the 90s?! Worst airline and not even cheap.",complaint
"Never flying  again.. Seats are so close to each other that you're basically touching other people &amp; you only get a drink",complaint
"Props to Karen . premier desk. Friendliest &amp; most helpful representative!! #customerservice",compliment
"Ooooo.  I like what you did w interior of ex  a319. Smart looking new seats.",compliment
"lol thanks  for the 2 minute heads up ðŸ™„ ",compliment
"thanks for the awesome #americanview of New York City! #lovethatplace ",compliment
"Can your Internet get any worse? It used to be dog slow on SWA. Now it just does not work. Sigh",complaint
"Hey  You Found my Luggage! Picked it up and everything was there. I'm Happy! Happy! Says me",compliment
"the delta app doesn't let me check in",complaint
"coming in clutch again. Wasn't supposed to leave until 1050 and now delayed an hour. Thank goodness I fly  next week.",compliment
"has to be the WORST airline ever....  maintenance on the plane for nearly 3 hours with no plausible explanation",complaint
"pre-board is ridiculous. Parents now use this just to board early with kids over he min age limit #travel #flight #rulesmatter",complaint
"great service provided by FA Robin in first class on AA1994 PHL-ORD yesterday  keep it up",compliment
"by far the worst logistically run airline in the business.  Mechanical, no gates, delayed connections.  This airline sucks",complaint
"I suggest you may want to re train some of your gate agents in Tampa b/c what I just witnessed was flat out unacceptable!",complaint
"Your bag drop line in MIA is staffed by only one person with 50 pax. waiting. Pathetic customer service",complaint
"flew  Singapore - London return in September 2015 best #airline by far - service, staff, new airplanes",compliment
"is the worst airlines. they changed plane and i lost my main cabin plus seats and am now in the last row. they blamed software",complaint
"real quick, ,is it possible to use unapplied funds for a family member? Customer Service line has been of no help ðŸ˜¢",request
"Shoutout to  for the free drink! #HappyStPatricksDay ðŸ€",compliment
"24hrs later... back en route to Doha. Thank you Isso at  &amp; Isabelle &amp; Thomas at #ZRH Lost &amp; Found! ðŸ™ðŸ¼ ",compliment
"Can  at least give a reason for flight #1251 being delayed?",request
"due to delayed/rescheduled flights, my checked bag is on a different flight than I and will arrive in BOS hours after me. Help?",request
"customer service agents make Donald Trump seem like a reasonable person",compliment
"Hello, Me and my family are flying to Florida in August, is 10 of us total, can I get a promo code?",request
"Will I ever have a  flight that doesn't take off late or have a mechanical delay? The world may never know...",complaint
"Help, I had something come up and need to adjust the time of my flight tomorrow.  Am I going to get charged a ton? :(",request
"Taking off SFO-HNL on  Always use #unitedairlines app, it's great! #Aloha",compliment
"is the TOM059 Mauritius to Gatwick delayed? Due to fly at 1115 local time but the hotel is saying is delayed by up to 12hrs",request
"cancelled a flight, next one not until after the funeral I was going to attend.  could care less. Never again AA.",complaint
"your agent told me an economy or business ticket is higher status. So glad I bought a first class ticket. #unitedfail #what",compliment
"I will NEVER fly with Southwest, you ignorant out of touch a-holes.",complaint
"They are holding me up at TSA San Diego because boarding pass doesn't have both last names. Will miss  flight to Des Moines. #help !!",request
"gate agent Jennifer is offering a courtesy carry on bag check in. Thank you. This will assist with speedy boarding.",compliment
"You know what I love? Flying   Know why? I LOVE FLIGHT DELAYS.",complaint
"Super friendly  has done it again with the extra care for the customer #thanksguys #awesomeness",compliment
"Hi there. I have friends stuck in New Orleans trying to get back to YYC. Can they get a refund to book on another airline?",request
"Never forget that  is probably the worst airline. Terrible customer service, terrible agents. Don't book with them, ever.",complaint
"Is it possible to pay a fee and have expired Mileage Plus miles unexpire? I seem to remember some other airline does that. Thanks!",request
"if my carry on is too large, and I have to gate check the bag, do I have to wait and pick it up in baggage claim?",request
"is The fly UA951 from brussels to Washington is still scheduled tomorrow  ? #thanks",request
"Hello. Do you provide special air tickets (offer) for international students?",request
"thanks to David working the LAX to JFK flight today. Got me an early bday present , aisle seat change. Very sweet!  #nomadness",compliment
"Ur 4given 4 no online bag chk. Gr8 cust serv peeps to check bags in  Even security was easy. #AmericanAirlines",compliment
"Horrible  and getting worse. I had to rebook and you don't even cover expense for my hotel tonight. A discount coupon is all I got.",complaint
". are bigots, don't fly with them",complaint
"Had a great first experience with  Very nice leg room even for economy, great service! #recommended ",compliment
"hi there, could you provide me with the reason for the 11hr delay on the LGW-PVR on 05/03/2016?  Thanks",request
"bumpy flight from PIT to DCA today but awesome view of monuments. Thanks! ",compliment
"Come fly with us at  instead! You can be guaranteed of a certain kind of service with us.   ",compliment
"i just missed my flight. is there anything you can do to help?",request
"Thanks  got to the east coast! #firstTimeinNYC ",compliment
"Haven't flown with  in a minute. Super comfy seats and super friendly staff flying out of  this AM!",compliment
"I have been trying to find a staffed customer service desk for a half hour and I need help.",request
"Thanks  for letting 300 ppl sit on a plane over an hour,so you can change a flashlight battery. Not joking",complaint
"Thank you for the information, we are all praying and standing with you today   ",compliment
"more good news!! Another delay-4 delay updates!! All over the board-right hand say hello to left hand!!#unitedsucks#UA does not care",compliment
"Look at the huge bread roll bang in the middle of my no carbohydrate  meal. Now that didn't help!!",complaint
"first time flying with  and I'm very disappointed, I had the worst flying experience",complaint
"Thanks to  for seeing that flight delays would affect our trip. They put us on a different flight before we had a chance to ask.",compliment
"any reason why flight AA4693 is continuously getting delayed out of ATL? We're at an hour with no explanation and a plane here.",request
"After 1 horrible flight and having to get off the plane for a 2nd I am thinking about switching from  to  #fixyourshit",complaint
"what terminal flys to Seattle from London Heathrow? Heathrow website says 3, your map on app says 4? Thanks",request
"love the view flying into Bermuda last night",compliment
"Thank you  for direct flight to DC from Omaha. Plus great TV watching in flight!",compliment
"Back to back amazing FA crews on  5276 and 5258 tonight. Great service on all AA flights this week.",compliment
"What is AA policy when causing a customer to miss connection and have to stay in connecting city?",request
"hi guys! I just want to know if my flight Paris CDG &gt; Miami on monday morning (BA1549) is delayed or cancelled thx",request
"is really great about making sure every plane you fly on is late or delayed. #neverflyamericanair #lostbaggage",complaint
"I feel very special! My favorite airline  sent me a present! Thank you for the speakerâ¤ï¸ #Nashville ",compliment
"please start flights from new international Airport Chandigarh India to Singapore London Glasgow Scotland Thanks",compliment
"you FedEx'd iPad that I left on plane. I was not home upon delivery. FedEx says they shipped it back to AA. How do I get it?",request
"Oh! Happy birthday Thank you for giving me a place to yell at  in front of 20k+ people &lt;3 #LoveTwitter",compliment
"Thanks to  &amp; a gate agent closing the door on 15 people running from a late flight, extra time in Houston tonight. #notcustomerfirst",complaint
"This saturday i will fly from Amsterdam to cape town economy. Can i take a backpack as hand baggage plus a camera bag?",request
"thanks for taking care of musicians on your flight. You handled our guitars with care and let us carry them on. Thank you",compliment
"Is DL613 still delayed until 6 PM?",request
"special thanks to Ms Charlotte Chen of SA478 on 18th April to SA. She made sure me and my 4months old baby had lovely journey!",compliment
"Loving it! Thanks to  &amp;  for the bags arriving on time.  to Orlando? Smooooth",complaint
"what is the reason for delay flt 1322?",request
"at Chicago midway. Gate B14.  No customer service agent to be seen.  Lots of customers in line for assistance. No one to help.",complaint
"to top it all off, you're staff didn't give a monkeys and showed no willingness to help a poor young man out. And you broke..",complaint
"Hi! The contact form on the AAdvantage eShopping site is broken. How can I send a query until it's fixed?",request
"Thank you  for getting  and I home safe from #JFK today. Gaston our flight attendant in first class was awesome!",compliment
"Now I'm in danger of missing an international flight. Way to treat a platinum frequent flyer. Unacceptable!!! 2 of 2",complaint
"Hi SWA, i was meant to be on Flight 991 on March 13 which was cancelled. How do I get a refund? Thanks!",request
"Thank you  - #luv the way you always get us where we need to go! From 35,000 feet on FREE wi-fi! â¤ï¸ ",compliment
"- 2 cancelled flights for weather. On hold for 20 minutes then disconnected with no warning. On hold again. Not impressed.",complaint
"can you at least answer this: what happens with my checked bags? UA1914 â€” I just abandoned the line at customer service. Tired.",request
"So now  has cleared me. WTF am I on standby if I paid good money?",complaint
"Day 2 trying to get to from SJO to ATL, says still missing plane part, how long does it take to fix? Very upset in Costa Rica.",request
"very unhappy w/my random flight cancelation and refund refusal. AA just lost lots of travel.",complaint
"had booked tickets via  Cancelled them on 13th Jan. Still waiting for the refund. Why so much delay?",complaint
"Avoid booking with Thomson. Go elsewhere if you can",complaint
"Thank you  for following through on your word and delivering my luggage. I appreciate your responsiveness.",compliment
"Seriously  good cust exp is easy, just want legit info. No plane, no gate agent, how can a flight take off in 20 mins? #RonR",request
"Rose is the Austin club is fantastic.  Thanks to her for the #flierfriendly welcome.",compliment
"Kudos to head flt attendant Greg on AA768 Mar23. Great service in First Class and he is so polite. It was a pleasure!",compliment
"can't believe how unprofessional u've been 2day.Opening counters 2 hr late, now turning back flight in mid air,NO explanations",complaint
"your terrible service has prevented my sister from seeing her daughter. This daughter lost two grandparents recently.",complaint
"Great  SQ602 flight from SIN to ICN on 23.03. Very supportive &amp; kind cabin crew team. Especially Mr. Philip Goh! Thank you!",compliment
"Hi, just received notif. Flight delayed tonight. Have another 6am flight tom. Can I have rebook earlier comp. Conf. RS7T9S",request
"Why I always fly   is a fucking joke and after I use this bullshit credit I will never fly with them again.",complaint
"Man, I never tweet, except when I need to say how badly  is treating me. And no, I'm not gonna fill out your survey - it doesn't help",complaint
"Thank you for a wonderful flight to San Francisco! ",compliment
"Could you have f up flight 984 any worse? Looks like we will be 8 hours or more late. After getting up at 5 in Paris #sucks",request
